Model,Mean Squared Error,Mean Pinball Loss,Pinball Loss At Alpha,Mean Absolute Error,R2 Square,D2 Pinball,Under Allocations,Over Allocations,Correct Allocations,Miss Rate
Q075_pb1_g,0.12946976716543293,0.13750718624058614,0.02543598355079497,0.2750143724811723,0.9238846435597083,0.7330344399269988,2,24,309,0.07761194029850746
Q075_pb0_g,0.05470633453396327,0.09004044686938381,0.13947111076487323,0.18008089373876762,0.9678381119873815,0.8251895120182928,4,18,313,0.06567164179104477
