Model,Accuracy,Precision,Recall,FScore,Under Allocations,Over Allocations,Correct Allocations,Miss Rate,Cross Validation
clf_def,0.9711111111111111,0.9792893724646156,0.9782295702112902,0.978744056043411,23,29,1748,0.028888888888888888,0.9361111111111111
clf_opt,0.9555555555555556,0.9681548815635255,0.9662270656454287,0.9671451562974771,35,45,1720,0.044444444444444446,0.9333333333333333
