Model,Mean Squared Error,Mean Pinball Loss,Pinball Loss At Alpha,Mean Absolute Error,R2 Square,D2 Pinball,Under Allocations,Over Allocations,Correct Allocations,Miss Rate,Cross Validation
Q025_pb0_e,0.5284115228409557,0.22503347763425616,0.021093441580221722,0.4500669552685123,0.8370077083278726,0.6946985240367204,249,7,1544,0.14222222222222222,0.8085358907388491
Q075_pb0_e,0.029178596545433335,0.044586264545091486,0.08396647728357946,0.08917252909018297,0.9909996544111169,0.9395101008240673,5,50,1745,0.030555555555555555,0.9731492687045419
