Model,Accuracy,Precision,Recall,FScore,Under Allocations,Over Allocations,Correct Allocations,Miss Rate
clf_opt_e,0.9373297002724795,0.9362929550715177,0.9321697465984564,0.9341666540772557,11,12,344,0.06267029972752043
clf_opt_g,0.9373134328358209,0.9393318443756279,0.9357522089969909,0.9373714931524262,8,13,314,0.0626865671641791
