Span,Span_Len,Span_Max,Span_Min,Span_Std,Link,Link_Len,Link_Max,Link_Min,Link_Std,SNR,MF
66.42857142857143,7.0,80.0,35.0,16.508501211342537,24.333333333333332,3.0,35.0,10.0,10.530379332620875,15.07,8
64.33333333333333,12.0,80.0,38.0,13.110640292864758,17.5,4.0,32.0,9.0,9.013878188659973,14.32,8
56.0,4.0,74.0,36.0,14.352700094407323,28.333333333333332,3.0,36.0,19.0,7.039570693980958,16.56,16
66.57142857142857,7.0,70.0,48.0,7.61309291112813,13.5,2.0,18.0,9.0,4.5,15.39,16
66.42857142857143,7.0,80.0,35.0,16.508501211342537,25.0,3.0,35.0,10.0,10.801234497346433,14.73,8
65.25,8.0,80.0,48.0,10.24390062427394,11.666666666666666,3.0,17.0,3.0,6.182412330330469,15.39,16
67.375,8.0,80.0,35.0,15.643988462025916,24.5,4.0,35.0,10.0,9.394147114027968,14.22,8
78.83333333333333,6.0,80.0,76.0,1.674979270186815,9.5,2.0,12.0,7.0,2.5,15.56,16
63.857142857142854,7.0,80.0,41.0,15.103723017176653,21.0,3.0,39.0,7.0,13.366625103842281,15.52,16
54.77777777777778,9.0,74.0,35.0,14.140389573273808,29.6,5.0,42.0,18.0,8.16333265278342,14.73,8
64.14285714285714,7.0,70.0,54.0,5.865847190756517,10.0,2.0,12.0,8.0,2.0,15.78,16
63.0,5.0,70.0,37.0,13.023056476879765,9.0,2.0,11.0,7.0,2.0,16.58,16
69.16666666666667,6.0,80.0,48.0,10.237458451957476,9.5,2.0,10.0,9.0,0.5,15.71,16
69.0,2.0,74.0,64.0,5.0,34.5,2.0,39.0,30.0,4.5,17.29,16
55.166666666666664,6.0,70.0,35.0,13.69204959902725,31.0,3.0,37.0,24.0,5.354126134736337,16.02,16
57.857142857142854,7.0,74.0,35.0,14.287142785721427,26.25,4.0,30.0,19.0,4.493050188902857,15.19,8
56.333333333333336,12.0,64.0,35.0,7.442371187255369,22.25,4.0,44.0,5.0,17.541023345289748,14.65,8
57.25,4.0,80.0,36.0,16.23845743905498,9.0,2.0,16.0,2.0,7.0,16.68,16
54.0,5.0,70.0,38.0,13.62350909274112,25.5,2.0,30.0,21.0,4.5,16.9,16
36.5,2.0,37.0,36.0,0.5,8.0,2.0,10.0,6.0,2.0,18.11,16
63.0,5.0,70.0,37.0,13.023056476879765,8.5,2.0,14.0,3.0,5.5,16.28,16
57.13333333333333,15.0,74.0,35.0,14.051650753163804,28.285714285714285,7.0,44.0,13.0,10.726659521481789,13.4,8
70.25,8.0,80.0,50.0,11.065147988165364,10.0,3.0,16.0,4.0,4.898979485566356,14.83,8
52.63636363636363,11.0,74.0,35.0,13.89749962647125,30.833333333333332,6.0,44.0,18.0,9.423669962151452,14.01,8
65.6,5.0,70.0,50.0,7.8383671769061705,12.0,2.0,19.0,5.0,7.0,16.49,16
69.75,8.0,80.0,35.0,16.23845743905498,17.666666666666668,3.0,34.0,7.0,11.728408057172787,14.84,8
57.13333333333333,15.0,74.0,35.0,14.051650753163804,24.285714285714285,7.0,40.0,10.0,10.497813183356477,13.61,8
67.16666666666667,6.0,80.0,59.0,9.208993189027536,9.0,2.0,10.0,8.0,1.0,15.97,16
66.0,9.0,80.0,38.0,13.856406460551018,10.333333333333334,3.0,18.0,3.0,6.128258770283412,14.69,8
69.75,8.0,80.0,35.0,16.23845743905498,21.333333333333332,3.0,42.0,6.0,15.173075568988057,14.95,8
59.2,5.0,70.0,38.0,12.998461447417537,8.5,2.0,14.0,3.0,5.5,16.68,16
57.857142857142854,7.0,74.0,35.0,14.287142785721427,27.0,4.0,37.0,15.0,8.336666000266533,15.2,16
64.0,13.0,70.0,48.0,7.656068482934607,12.75,4.0,14.0,9.0,2.165063509461097,14.13,8
54.55555555555556,9.0,74.0,35.0,14.415355324646093,28.4,5.0,37.0,16.0,8.777243302996675,14.85,8
64.72727272727273,11.0,70.0,48.0,6.90310745693441,11.666666666666666,3.0,14.0,10.0,1.699673171197595,14.55,8
58.5,6.0,70.0,36.0,15.575086944647639,8.333333333333334,3.0,10.0,6.0,1.699673171197595,16.08,16
73.0,5.0,80.0,68.0,4.6475800154489,9.5,2.0,15.0,4.0,5.5,15.98,16
56.333333333333336,12.0,64.0,35.0,7.442371187255369,17.75,4.0,35.0,1.0,15.35211711784404,14.65,8
59.42857142857143,7.0,70.0,38.0,12.222428363547108,12.0,3.0,17.0,3.0,6.377042156569663,15.5,16
49.142857142857146,7.0,70.0,35.0,13.943032785778929,26.0,4.0,37.0,13.0,10.653637876331258,15.54,16
56.2,5.0,70.0,36.0,16.104657711357916,10.0,3.0,15.0,5.0,4.08248290463863,15.99,16
69.5,4.0,70.0,68.0,0.8660254037844386,13.0,1.0,13.0,13.0,0.0,16.75,16
62.875,8.0,70.0,37.0,12.097907876984351,11.333333333333334,3.0,15.0,8.0,2.8674417556808756,15.48,16
53.142857142857146,7.0,70.0,35.0,13.611219861660048,33.0,4.0,44.0,15.0,10.977249200050075,15.45,16
61.8,5.0,80.0,35.0,17.46310396235446,6.5,2.0,13.0,0.0,6.5,16.25,16
65.9,10.0,80.0,35.0,14.9829903557334,22.6,5.0,35.0,10.0,9.221713506718803,13.71,8
54.55555555555556,9.0,74.0,35.0,14.415355324646093,33.4,5.0,44.0,20.0,8.187795796183488,14.78,8
65.16666666666667,12.0,80.0,35.0,16.925490309654908,23.666666666666668,6.0,40.0,9.0,11.070481270277076,13.46,8
64.85714285714286,7.0,70.0,59.0,4.793703353017862,9.5,2.0,12.0,7.0,2.5,16.0,16
58.55555555555556,9.0,60.0,53.0,2.7125679146074893,5.0,2.0,7.0,3.0,2.0,15.98,16
62.333333333333336,3.0,70.0,47.0,10.842303978193728,3.0,1.0,3.0,3.0,0.0,17.41,16
64.5,4.0,80.0,54.0,9.630680142129112,2.0,2.0,4.0,0.0,2.0,16.92,16
67.375,8.0,80.0,35.0,15.643988462025916,27.25,4.0,37.0,11.0,10.256095748383007,14.69,8
57.857142857142854,7.0,74.0,35.0,14.287142785721427,32.5,4.0,40.0,26.0,5.408326913195984,15.51,16
36.5,2.0,37.0,36.0,0.5,6.0,2.0,9.0,3.0,3.0,18.1,16
42.5,2.0,50.0,35.0,7.5,42.0,1.0,42.0,42.0,0.0,18.41,32
64.0,13.0,70.0,48.0,7.656068482934607,12.75,4.0,19.0,9.0,3.766629793329841,14.1,8
62.5,10.0,80.0,35.0,17.339261806662936,23.8,5.0,42.0,14.0,10.476640682967036,14.19,8
54.75,8.0,60.0,35.0,8.317902379807062,19.5,2.0,38.0,1.0,18.5,16.05,16
74.66666666666667,3.0,80.0,64.0,7.542472332656507,10.0,1.0,10.0,10.0,0.0,17.41,16
64.0,13.0,70.0,48.0,7.656068482934607,9.75,4.0,16.0,5.0,4.02336923485777,13.94,8
51.5,6.0,74.0,35.0,14.020817855365404,25.0,4.0,35.0,15.0,7.3824115301167,16.0,16
65.125,8.0,80.0,35.0,16.47298925514128,20.666666666666668,3.0,37.0,12.0,11.55662388223981,15.24,16
65.125,8.0,80.0,35.0,16.47298925514128,26.333333333333332,3.0,44.0,15.0,12.657891697365017,14.98,8
51.333333333333336,6.0,70.0,35.0,13.900439641328697,26.333333333333332,3.0,35.0,16.0,7.845734863959881,16.04,16
61.25,4.0,70.0,37.0,14.02453207775575,11.0,2.0,14.0,8.0,3.0,16.99,16
72.28571428571429,7.0,80.0,58.0,7.666518779999279,10.0,2.0,15.0,5.0,5.0,15.4,16
58.55555555555556,9.0,60.0,53.0,2.7125679146074893,8.0,2.0,9.0,7.0,1.0,15.76,16
38.5,2.0,41.0,36.0,2.5,12.0,2.0,12.0,12.0,0.0,18.1,16
63.0,5.0,70.0,37.0,13.023056476879765,8.0,2.0,11.0,5.0,3.0,16.14,16
61.0,6.0,70.0,38.0,12.529964086141668,11.0,2.0,12.0,10.0,1.0,16.56,16
57.13333333333333,15.0,74.0,35.0,14.051650753163804,27.285714285714285,7.0,43.0,14.0,11.221335363803133,13.49,8
58.0,3.0,60.0,54.0,2.8284271247461903,11.0,1.0,11.0,11.0,0.0,17.75,16
60.888888888888886,9.0,70.0,36.0,12.305775016854163,11.666666666666666,3.0,18.0,3.0,6.342099196813483,15.18,8
55.75,4.0,74.0,35.0,14.703315952532613,33.0,3.0,42.0,24.0,7.3484692283495345,16.48,16
54.77777777777778,9.0,74.0,35.0,14.140389573273808,26.0,5.0,42.0,11.0,10.677078252031311,14.81,8
61.18181818181818,11.0,80.0,38.0,13.175860722743089,16.75,4.0,29.0,10.0,7.562241731127087,14.76,8
36.5,2.0,37.0,36.0,0.5,11.5,2.0,14.0,9.0,2.5,18.0,16
65.25,4.0,74.0,47.0,10.662434056068061,14.5,2.0,27.0,2.0,12.5,16.63,16
58.0,3.0,60.0,54.0,2.8284271247461903,6.0,1.0,6.0,6.0,0.0,17.85,16
60.166666666666664,12.0,70.0,36.0,10.82307206336948,9.25,4.0,14.0,3.0,4.205650960315181,14.27,8
60.888888888888886,9.0,70.0,36.0,12.305775016854163,11.0,3.0,16.0,3.0,5.715476066494082,15.55,16
76.5,4.0,80.0,66.0,6.06217782649107,0.0,1.0,0.0,0.0,0.0,16.56,16
72.0,2.0,80.0,64.0,8.0,3.0,1.0,3.0,3.0,0.0,18.24,32
60.666666666666664,3.0,70.0,42.0,13.199326582148887,42.0,1.0,42.0,42.0,0.0,17.78,16
61.166666666666664,6.0,80.0,36.0,14.656246298270084,15.75,4.0,29.0,2.0,9.65336728815391,15.45,16
57.54545454545455,11.0,70.0,35.0,13.917703809854663,23.5,4.0,42.0,11.0,13.200378782444085,14.69,8
53.55555555555556,9.0,74.0,35.0,14.997119064904219,26.5,6.0,46.0,4.0,14.739402972983676,14.37,8
67.375,8.0,80.0,35.0,15.643988462025916,29.0,4.0,40.0,15.0,9.513148795220223,14.55,8
60.18181818181818,11.0,80.0,36.0,14.38950489904602,18.8,5.0,42.0,9.0,12.073110618229256,14.03,8
67.16666666666667,6.0,80.0,59.0,9.208993189027536,11.0,2.0,12.0,10.0,1.0,16.15,16
70.25,8.0,80.0,50.0,11.065147988165364,7.666666666666667,3.0,16.0,2.0,6.018490028422596,15.13,8
63.6,10.0,70.0,47.0,7.748548251124206,5.666666666666667,3.0,9.0,2.0,2.8674417556808756,14.51,8
49.666666666666664,3.0,64.0,35.0,11.841546445554407,36.0,2.0,37.0,35.0,1.0,17.45,16
62.57142857142857,7.0,80.0,36.0,16.952514713222957,6.75,4.0,14.0,2.0,4.763139720814412,15.22,16
60.888888888888886,9.0,70.0,36.0,12.305775016854163,14.333333333333334,3.0,20.0,6.0,6.018490028422597,15.08,8
54.55555555555556,9.0,74.0,35.0,14.415355324646093,27.2,5.0,36.0,15.0,7.934733769950949,15.07,8
37.0,1.0,37.0,37.0,0.0,5.0,1.0,5.0,5.0,0.0,18.94,32
51.0,8.0,70.0,35.0,13.937359864766353,29.0,5.0,43.0,10.0,13.311649033834989,15.03,8
63.0,5.0,70.0,37.0,13.023056476879765,6.5,2.0,9.0,4.0,2.5,16.77,16
65.6,5.0,70.0,50.0,7.8383671769061705,8.5,2.0,13.0,4.0,4.5,16.32,16
43.0,2.0,50.0,36.0,7.0,18.0,1.0,18.0,18.0,0.0,18.56,32
67.875,8.0,80.0,37.0,13.697057165683438,7.666666666666667,3.0,10.0,5.0,2.0548046676563256,15.27,16
65.25,4.0,74.0,47.0,10.662434056068061,17.0,2.0,30.0,4.0,13.0,16.85,16
56.2,5.0,70.0,36.0,16.104657711357916,6.333333333333333,3.0,9.0,4.0,2.0548046676563256,16.07,16
69.16666666666667,6.0,80.0,48.0,10.237458451957476,8.5,2.0,9.0,8.0,0.5,15.53,16
56.2,5.0,70.0,36.0,16.104657711357916,7.0,3.0,11.0,2.0,3.7416573867739413,16.47,16
